Participant,Difficulty,Technique,Time
s0251,Level1,B,0.52
s0251,Level1,C,0.95
s0251,Level2,A,1.33
s0251,Level2,B,0.81
s0251,Level2,C,1.25
s0251,Level3,A,1.06
s0251,Level3,B,0.56
s0251,Level3,C,1.13
s0251,Level4,A,13
s0251,Level4,B,4.09
s0251,Level4,C,4.56
s0252,Level1,A,1.06
s0252,Level1,B,0.68
s0252,Level1,C,0.86
s0252,Level2,A,0.92
s0252,Level2,B,1.43
s0252,Level2,C,1.09
s0252,Level3,A,0.97
s0252,Level3,B,0.75
s0252,Level3,C,0.62
s0252,Level4,A,3.53
s0252,Level4,B,3.46
s0252,Level4,C,8.57
s0253,Level1,A,0.63
s0253,Level1,B,0.77
s0253,Level1,C,1.55
s0253,Level2,A,1.3
s0253,Level2,B,0.92
s0253,Level2,C,0.52
s0253,Level3,A,0.66
s0253,Level3,B,0.67
s0253,Level3,C,0.89
s0253,Level4,A,8.54
s0253,Level4,B,3.85
s0253,Level4,C,4.54
s0254,Level1,A,0.47
s0254,Level1,B,0.99
s0254,Level1,C,0.74
s0254,Level2,A,0.96
s0254,Level2,B,0.73
s0254,Level2,C,0.84
s0254,Level3,A,0.77
s0254,Level3,B,1.74
s0254,Level3,C,1.72
s0254,Level4,A,9.21
s0254,Level4,B,3.54
s0254,Level4,C,4.97
s0255,Level1,A,0.35
s0255,Level1,B,0.27
s0255,Level1,C,0.34
s0255,Level2,A,0.51
s0255,Level2,B,0.37
s0255,Level2,C,1.06
s0255,Level3,A,0.29
s0255,Level3,B,0.86
s0255,Level3,C,0.45
s0255,Level4,A,4.2
s0255,Level4,B,2.86
s0255,Level4,C,2.76
s0256,Level1,A,0.25
s0256,Level1,B,0.73
s0256,Level1,C,0.51
s0256,Level2,A,0.49
s0256,Level2,B,0.38
s0256,Level2,C,0.68
s0256,Level3,A,0.23
s0256,Level3,B,0.81
s0256,Level3,C,0.45
s0256,Level4,A,3.84
s0256,Level4,B,4
s0256,Level4,C,1.35
s0257,Level1,A,1.1
s0257,Level1,B,0.23
s0257,Level1,C,0.49
s0257,Level2,A,0.6
s0257,Level2,B,1.15
s0257,Level2,C,0.2
s0257,Level3,A,0.65
s0257,Level3,B,0.92
s0257,Level3,C,0.35
s0257,Level4,A,3.76
s0257,Level4,B,3.39
s0257,Level4,C,1.51
s0258,Level1,A,0.43
s0258,Level1,B,0.37
s0258,Level1,C,0.33
s0258,Level2,A,0.35
s0258,Level2,B,0.31
s0258,Level2,C,0.39
s0258,Level3,A,0.28
s0258,Level3,B,0.61
s0258,Level3,C,0.32
s0258,Level4,A,1.96
s0258,Level4,B,5.12
s0258,Level4,C,2.61
s0259,Level1,A,0.63
s0259,Level1,B,0.39
s0259,Level1,C,0.44
s0259,Level2,A,0.43
s0259,Level2,B,0.49
s0259,Level2,C,0.34
s0259,Level3,A,0.32
s0259,Level3,B,0.84
s0259,Level3,C,0.63
s0259,Level4,A,0.87
s0259,Level4,B,1.76
s0259,Level4,C,1.91
s0260,Level1,A,0.41
s0260,Level1,B,0.16
s0260,Level1,C,0.23
s0260,Level2,A,0.32
s0260,Level2,B,0.71
s0260,Level2,C,0.27
s0260,Level3,A,0.48
s0260,Level3,B,0.42
s0260,Level3,C,0.5
s0260,Level4,A,1.02
s0260,Level4,B,1.6
s0260,Level4,C,0.9
s0261,Level1,A,0.91
s0261,Level1,B,0.55
s0261,Level1,C,0.93
s0261,Level2,A,0.94
s0261,Level2,B,0.5
s0261,Level2,C,0.92
s0261,Level3,A,0.88
s0261,Level3,B,0.9
s0261,Level3,C,1.12
s0261,Level4,A,4.39
s0261,Level4,B,2.83
s0261,Level4,C,4.86
s0262,Level1,A,0.65
s0262,Level1,B,0.9
s0262,Level1,C,0.97
s0262,Level2,A,0.47
s0262,Level2,B,0.99
s0262,Level2,C,0.45
s0262,Level3,A,0.77
s0262,Level3,B,2
s0262,Level3,C,0.78
s0262,Level4,A,3.29
s0262,Level4,B,3.93
s0262,Level4,C,5.3
s0263,Level1,A,2.14
s0263,Level1,B,1.93
s0263,Level1,C,3.79
s0263,Level2,A,2
s0263,Level2,B,0.88
s0263,Level2,C,2.28
s0263,Level3,A,1.59
s0263,Level3,B,1.19
s0263,Level3,C,2.07
s0263,Level4,A,5.54
s0263,Level4,B,12.08
s0263,Level4,C,7.74
s0264,Level1,A,0.63
s0264,Level1,B,0.42
s0264,Level1,C,1.8
s0264,Level2,A,0.64
s0264,Level2,B,2.36
s0264,Level2,C,0.68
s0264,Level3,A,0.42
s0264,Level3,B,1.09
s0264,Level3,C,0.59
s0264,Level4,A,3.66
s0264,Level4,B,6.39
s0264,Level4,C,4.77
s0265,Level1,A,0.84
s0265,Level1,B,1.31
s0265,Level1,C,1.12
s0265,Level2,A,1.1
s0265,Level2,B,0.76
s0265,Level2,C,2.25
s0265,Level3,A,1.42
s0265,Level3,B,0.78
s0265,Level3,C,0.8
s0265,Level4,A,7
s0265,Level4,B,3.84
s0265,Level4,C,15.58
s0266,Level1,A,0.18
s0266,Level1,B,0.25
s0266,Level1,C,0.21
s0266,Level2,A,0.79
s0266,Level2,B,0.8
s0266,Level2,C,0.51
s0266,Level3,A,0.42
s0266,Level3,B,0.22
s0266,Level3,C,0.41
s0266,Level4,A,2.32
s0266,Level4,B,5.45
s0266,Level4,C,3.32
s0267,Level1,A,1.88
s0267,Level1,B,0.85
s0267,Level1,C,1.17
s0267,Level2,A,0.87
s0267,Level2,B,1.37
s0267,Level2,C,1.25
s0267,Level3,A,0.55
s0267,Level3,B,0.72
s0267,Level3,C,0.66
s0267,Level4,A,6.79
s0267,Level4,B,3.86
s0267,Level4,C,8.32
s0268,Level1,A,2.01
s0268,Level1,B,3.47
s0268,Level1,C,2.96
s0268,Level2,A,0.98
s0268,Level2,B,3.32
s0268,Level2,C,1.01
s0268,Level3,A,1.64
s0268,Level3,B,2.08
s0268,Level3,C,1.09
s0268,Level4,A,16.01
s0268,Level4,B,15.88
s0268,Level4,C,9.52
s0269,Level1,A,0.34
s0269,Level1,B,0.39
s0269,Level1,C,1.09
s0269,Level2,A,0.89
s0269,Level2,B,0.67
s0269,Level2,C,0.38
s0269,Level3,A,0.52
s0269,Level3,B,1.18
s0269,Level3,C,1.27
s0269,Level4,A,5.74
s0269,Level4,B,3.66
s0269,Level4,C,6.99
s0270,Level1,A,0.65
s0270,Level1,B,0.42
s0270,Level1,C,0.66
s0270,Level2,A,0.74
s0270,Level2,B,0.58
s0270,Level2,C,0.45
s0270,Level3,A,0.27
s0270,Level3,B,0.68
s0270,Level3,C,0.56
s0270,Level4,A,3.51
s0270,Level4,B,2.54
s0270,Level4,C,4.02
s0271,Level1,A,0.42
s0271,Level1,B,1.22
s0271,Level1,C,0.8
s0271,Level2,A,0.48
s0271,Level2,B,1.09
s0271,Level2,C,1.18
s0271,Level3,A,0.81
s0271,Level3,B,0.77
s0271,Level3,C,0.5
s0271,Level4,A,2.09
s0271,Level4,B,7.16
s0271,Level4,C,2.64
s0272,Level1,A,0.54
s0272,Level1,B,0.83
s0272,Level1,C,1.01
s0272,Level2,A,0.44
s0272,Level2,B,1.67
s0272,Level2,C,1.31
s0272,Level3,A,0.29
s0272,Level3,B,1.3
s0272,Level3,C,0.43
s0272,Level4,A,6.18
s0272,Level4,B,9.4
s0272,Level4,C,7
s0273,Level1,A,1.75
s0273,Level1,B,2.78
s0273,Level1,C,1.04
s0273,Level2,A,0.84
s0273,Level2,B,0.89
s0273,Level2,C,1.53
s0273,Level3,A,1
s0273,Level3,B,1.91
s0273,Level3,C,0.54
s0273,Level4,A,13.92
s0273,Level4,B,11.24
s0273,Level4,C,4.61
s0274,Level1,A,1.4
s0274,Level1,B,0.25
s0274,Level1,C,0.42
s0274,Level2,A,0.29
s0274,Level2,B,0.68
s0274,Level2,C,0.57
s0274,Level3,A,0.38
s0274,Level3,B,0.77
s0274,Level3,C,0.33
s0274,Level4,A,4.91
s0274,Level4,B,7.09
s0274,Level4,C,3.34
s0275,Level1,A,0.58
s0275,Level1,B,0.95
s0275,Level1,C,0.66
s0275,Level2,A,0.43
s0275,Level2,B,1.22
s0275,Level2,C,0.71
s0275,Level3,A,0.46
s0275,Level3,B,0.54
s0275,Level3,C,0.52
s0275,Level4,A,9.52
s0275,Level4,B,1.84
s0275,Level4,C,3.41
s0276,Level1,A,0.53
s0276,Level1,B,0.53
s0276,Level1,C,2.18
s0276,Level2,A,1.01
s0276,Level2,B,1.04
s0276,Level2,C,1.94
s0276,Level3,A,0.5
s0276,Level3,B,0.85
s0276,Level3,C,0.55
s0276,Level4,A,7.74
s0276,Level4,B,3.26
s0276,Level4,C,12.63
s0277,Level1,A,0.59
s0277,Level1,B,1.05
s0277,Level1,C,0.67
s0277,Level2,A,0.24
s0277,Level2,B,0.69
s0277,Level2,C,0.61
s0277,Level3,A,0.45
s0277,Level3,B,0.7
s0277,Level3,C,1.62
s0277,Level4,A,2.82
s0277,Level4,B,3.46
s0277,Level4,C,4.46
s0278,Level1,A,1.04
s0278,Level1,B,1.72
s0278,Level1,C,0.88
s0278,Level2,A,1.33
s0278,Level2,B,0.95
s0278,Level2,C,1.5
s0278,Level3,A,0.53
s0278,Level3,B,2.44
s0278,Level3,C,1.51
s0278,Level4,A,4.53
s0278,Level4,B,4.76
s0278,Level4,C,18.54
s0279,Level1,A,0.38
s0279,Level1,B,1.26
s0279,Level1,C,0.35
s0279,Level2,A,0.76
s0279,Level2,B,0.32
s0279,Level2,C,0.79
s0279,Level3,A,1.97
s0279,Level3,B,0.6
s0279,Level3,C,0.85
s0279,Level4,A,2.63
s0279,Level4,B,4.83
s0279,Level4,C,5.16
s0280,Level1,A,0.99
s0280,Level1,B,1.1
s0280,Level1,C,0.61
s0280,Level2,A,0.29
s0280,Level2,B,0.65
s0280,Level2,C,0.44
s0280,Level3,A,0.33
s0280,Level3,B,0.58
s0280,Level3,C,0.33
s0280,Level4,A,3.49
s0280,Level4,B,3.4
s0280,Level4,C,1.34
s0281,Level1,A,0.78
s0281,Level1,B,0.75
s0281,Level1,C,0.37
s0281,Level2,A,0.27
s0281,Level2,B,0.19
s0281,Level2,C,0.41
s0281,Level3,A,0.4
s0281,Level3,B,0.32
s0281,Level3,C,0.71
s0281,Level4,A,1.5
s0281,Level4,B,1.51
s0281,Level4,C,2.08
s0282,Level1,A,0.6
s0282,Level1,B,2.77
s0282,Level1,C,0.65
s0282,Level2,A,1.21
s0282,Level2,B,0.32
s0282,Level2,C,0.62
s0282,Level3,A,0.72
s0282,Level3,B,0.67
s0282,Level3,C,0.99
s0282,Level4,A,6.21
s0282,Level4,B,8.44
s0282,Level4,C,4.68
s0283,Level1,A,0.66
s0283,Level1,B,0.72
s0283,Level1,C,0.45
s0283,Level2,A,0.72
s0283,Level2,B,0.48
s0283,Level2,C,0.52
s0283,Level3,A,0.31
s0283,Level3,B,0.34
s0283,Level3,C,0.31
s0283,Level4,A,1.73
s0283,Level4,B,4.42
s0283,Level4,C,6.04
s0284,Level1,A,1.5
s0284,Level1,B,2.24
s0284,Level1,C,2.1
s0284,Level2,A,0.97
s0284,Level2,B,0.89
s0284,Level2,C,1.03
s0284,Level3,A,1.97
s0284,Level3,B,2.06
s0284,Level3,C,1.91
s0284,Level4,A,4.24
s0284,Level4,B,4.96
s0284,Level4,C,14.01
s0285,Level1,A,0.78
s0285,Level1,B,0.66
s0285,Level1,C,0.52
s0285,Level2,A,0.36
s0285,Level2,B,0.76
s0285,Level2,C,1.06
s0285,Level3,A,0.29
s0285,Level3,B,0.77
s0285,Level3,C,1.49
s0285,Level4,A,7.21
s0285,Level4,B,2.19
s0285,Level4,C,3.47
s0286,Level1,A,1.22
s0286,Level1,B,1.38
s0286,Level1,C,2.11
s0286,Level2,A,3.18
s0286,Level2,B,2.2
s0286,Level2,C,1.24
s0286,Level3,A,1.42
s0286,Level3,B,1.48
s0286,Level3,C,1.75
s0286,Level4,A,11.5
s0286,Level4,B,4.99
s0286,Level4,C,8.52
s0287,Level1,A,0.66
s0287,Level1,B,0.75
s0287,Level1,C,0.6
s0287,Level2,A,0.4
s0287,Level2,B,0.41
s0287,Level2,C,0.45
s0287,Level3,A,0.43
s0287,Level3,B,1.26
s0287,Level3,C,0.45
s0287,Level4,A,3.46
s0287,Level4,B,7.63
s0287,Level4,C,5.16
s0288,Level1,A,0.17
s0288,Level1,B,0.38
s0288,Level1,C,0.11
s0288,Level2,A,0.18
s0288,Level2,B,0.21
s0288,Level2,C,0.86
s0288,Level3,A,0.34
s0288,Level3,B,0.29
s0288,Level3,C,0.73
s0288,Level4,A,2.25
s0288,Level4,B,1.18
s0288,Level4,C,1.57
s0289,Level1,A,0.79
s0289,Level1,B,0.7
s0289,Level1,C,0.56
s0289,Level2,A,0.54
s0289,Level2,B,0.44
s0289,Level2,C,0.42
s0289,Level3,A,0.96
s0289,Level3,B,0.95
s0289,Level3,C,0.31
s0289,Level4,A,3.63
s0289,Level4,B,3.17
s0289,Level4,C,9.35
s0290,Level1,A,0.28
s0290,Level1,B,0.47
s0290,Level1,C,0.43
s0290,Level2,A,1.54
s0290,Level2,B,0.71
s0290,Level2,C,0.19
s0290,Level3,A,0.31
s0290,Level3,B,0.76
s0290,Level3,C,0.35
s0290,Level4,A,3.32
s0290,Level4,B,1.54
s0290,Level4,C,4.69
s0291,Level1,A,0.65
s0291,Level1,B,0.82
s0291,Level1,C,0.38
s0291,Level2,A,0.9
s0291,Level2,B,0.58
s0291,Level2,C,0.88
s0291,Level3,A,0.35
s0291,Level3,B,0.34
s0291,Level3,C,0.84
s0291,Level4,A,2.29
s0291,Level4,B,7.41
s0291,Level4,C,13.98
s0292,Level1,A,0.67
s0292,Level1,B,0.72
s0292,Level1,C,1.46
s0292,Level2,A,0.6
s0292,Level2,B,0.79
s0292,Level2,C,1.34
s0292,Level3,A,1.36
s0292,Level3,B,0.98
s0292,Level3,C,0.59
s0292,Level4,A,5.97
s0292,Level4,B,6.43
s0292,Level4,C,9.47
s0293,Level1,A,0.96
s0293,Level1,B,1.59
s0293,Level1,C,1.86
s0293,Level2,A,1.59
s0293,Level2,B,0.84
s0293,Level2,C,3.6
s0293,Level3,A,0.69
s0293,Level3,B,1.6
s0293,Level3,C,2.13
s0293,Level4,A,5.61
s0293,Level4,B,4.54
s0293,Level4,C,5.78
s0294,Level1,A,0.68
s0294,Level1,B,0.61
s0294,Level1,C,0.52
s0294,Level2,A,0.34
s0294,Level2,B,0.64
s0294,Level2,C,0.46
s0294,Level3,A,0.34
s0294,Level3,B,1.51
s0294,Level3,C,0.69
s0294,Level4,A,3.02
s0294,Level4,B,3.45
s0294,Level4,C,3.94
s0295,Level1,A,0.3
s0295,Level1,B,0.64
s0295,Level1,C,1.23
s0295,Level2,A,0.62
s0295,Level2,B,0.26
s0295,Level2,C,0.58
s0295,Level3,A,0.49
s0295,Level3,B,0.64
s0295,Level3,C,0.38
s0295,Level4,A,6.86
s0295,Level4,B,4.45
s0295,Level4,C,3.18
s0296,Level1,A,0.95
s0296,Level1,B,0.43
s0296,Level1,C,0.16
s0296,Level2,A,0.35
s0296,Level2,B,0.25
s0296,Level2,C,0.52
s0296,Level3,A,0.19
s0296,Level3,B,0.45
s0296,Level3,C,0.41
s0296,Level4,A,2.53
s0296,Level4,B,2.11
s0296,Level4,C,3.08
s0297,Level1,A,0.8
s0297,Level1,B,0.52
s0297,Level1,C,0.65
s0297,Level2,A,1
s0297,Level2,B,0.81
s0297,Level2,C,0.57
s0297,Level3,A,0.22
s0297,Level3,B,1.32
s0297,Level3,C,1.37
s0297,Level4,A,5.15
s0297,Level4,B,3.36
s0297,Level4,C,5.68
s0298,Level1,A,0.94
s0298,Level1,B,1.06
s0298,Level1,C,0.31
s0298,Level2,A,1.3
s0298,Level2,B,1.34
s0298,Level2,C,1.1
s0298,Level3,A,1.03
s0298,Level3,B,0.79
s0298,Level3,C,1.35
s0298,Level4,A,4.66
s0298,Level4,B,3.19
s0298,Level4,C,5.59
s0299,Level1,A,0.77
s0299,Level1,B,1.27
s0299,Level1,C,1.09
s0299,Level2,A,0.89
s0299,Level2,B,1.04
s0299,Level2,C,1.93
s0299,Level3,A,0.44
s0299,Level3,B,1.01
s0299,Level3,C,1.25
s0299,Level4,A,10.55
s0299,Level4,B,7.12
s0299,Level4,C,3.39
s0300,Level1,A,0.36
s0300,Level1,B,0.5
s0300,Level1,C,0.33
s0300,Level2,A,1.19
s0300,Level2,B,0.73
s0300,Level2,C,0.33
s0300,Level3,A,1
s0300,Level3,B,0.34
s0300,Level3,C,0.55
s0300,Level4,A,5.83
s0300,Level4,B,4.03
s0300,Level4,C,4.32
s0301,Level1,A,0.39
s0301,Level1,B,0.48
s0301,Level1,C,0.57
s0301,Level2,A,0.2
s0301,Level2,B,0.5
s0301,Level2,C,0.62
s0301,Level3,A,0.33
s0301,Level3,B,0.4
s0301,Level3,C,0.47
s0301,Level4,A,6.29
s0301,Level4,B,1.67
s0301,Level4,C,4.28
s0302,Level1,A,0.55
s0302,Level1,B,0.54
s0302,Level1,C,0.62
s0302,Level2,A,0.54
s0302,Level2,B,0.44
s0302,Level2,C,0.42
s0302,Level3,A,0.55
s0302,Level3,B,0.58
s0302,Level3,C,1.07
s0302,Level4,A,4.39
s0302,Level4,B,1.62
s0302,Level4,C,2.89
s0303,Level1,A,0.81
s0303,Level1,B,0.86
s0303,Level1,C,1.62
s0303,Level2,A,0.88
s0303,Level2,B,0.72
s0303,Level2,C,0.81
s0303,Level3,A,0.62
s0303,Level3,B,0.65
s0303,Level3,C,0.62
s0303,Level4,A,3.83
s0303,Level4,B,3.43
s0303,Level4,C,6.06
s0304,Level1,A,0.68
s0304,Level1,B,0.88
s0304,Level1,C,0.54
s0304,Level2,A,0.8
s0304,Level2,B,0.85
s0304,Level2,C,1.74
s0304,Level3,A,0.57
s0304,Level3,B,0.49
s0304,Level3,C,2.15
s0304,Level4,A,2.99
s0304,Level4,B,3.18
s0304,Level4,C,5.83
s0305,Level1,A,1.77
s0305,Level1,B,4.84
s0305,Level1,C,1.03
s0305,Level2,A,1.54
s0305,Level2,B,2.39
s0305,Level2,C,1.27
s0305,Level3,A,3.81
s0305,Level3,B,2.14
s0305,Level3,C,1.8
s0305,Level4,A,8.73
s0305,Level4,B,9.67
s0305,Level4,C,15.46
s0306,Level1,A,0.2
s0306,Level1,B,0.7
s0306,Level1,C,0.35
s0306,Level2,A,0.54
s0306,Level2,B,0.23
s0306,Level2,C,1.06
s0306,Level3,A,0.32
s0306,Level3,B,0.53
s0306,Level3,C,0.46
s0306,Level4,A,3.48
s0306,Level4,B,2.02
s0306,Level4,C,2.43
s0307,Level1,A,0.44
s0307,Level1,B,0.81
s0307,Level1,C,0.37
s0307,Level2,A,0.49
s0307,Level2,B,0.27
s0307,Level2,C,0.52
s0307,Level3,A,0.2
s0307,Level3,B,0.32
s0307,Level3,C,0.33
s0307,Level4,A,1.26
s0307,Level4,B,5.05
s0307,Level4,C,2.25
s0308,Level1,A,0.53
s0308,Level1,B,0.41
s0308,Level1,C,0.33
s0308,Level2,A,0.6
s0308,Level2,B,0.43
s0308,Level2,C,0.42
s0308,Level3,A,0.58
s0308,Level3,B,0.68
s0308,Level3,C,0.13
s0308,Level4,A,3.07
s0308,Level4,B,1.94
s0308,Level4,C,4.81
s0309,Level1,A,0.18
s0309,Level1,B,0.19
s0309,Level1,C,0.44
s0309,Level2,A,0.34
s0309,Level2,B,0.19
s0309,Level2,C,0.21
s0309,Level3,A,0.68
s0309,Level3,B,0.33
s0309,Level3,C,0.26
s0309,Level4,A,3.31
s0309,Level4,B,3.5
s0309,Level4,C,2.3
s0310,Level1,A,0.73
s0310,Level1,B,0.23
s0310,Level1,C,0.55
s0310,Level2,A,0.16
s0310,Level2,B,0.38
s0310,Level2,C,0.53
s0310,Level3,A,0.45
s0310,Level3,B,0.36
s0310,Level3,C,0.67
s0310,Level4,A,5.04
s0310,Level4,B,1.95
s0310,Level4,C,3.92
s0311,Level1,A,0.83
s0311,Level1,B,0.25
s0311,Level1,C,0.4
s0311,Level2,A,0.88
s0311,Level2,B,0.52
s0311,Level2,C,0.98
s0311,Level3,A,0.79
s0311,Level3,B,0.4
s0311,Level3,C,0.4
s0311,Level4,A,5.66
s0311,Level4,B,3.05
s0311,Level4,C,2.09
s0312,Level1,A,0.61
s0312,Level1,B,0.65
s0312,Level1,C,0.55
s0312,Level2,A,0.42
s0312,Level2,B,1.06
s0312,Level2,C,1.01
s0312,Level3,A,0.77
s0312,Level3,B,0.49
s0312,Level3,C,1.39
s0312,Level4,A,2.4
s0312,Level4,B,3.41
s0312,Level4,C,4.13
s0313,Level1,A,0.75
s0313,Level1,B,0.65
s0313,Level1,C,0.76
s0313,Level2,A,0.92
s0313,Level2,B,1.21
s0313,Level2,C,0.33
s0313,Level3,A,0.74
s0313,Level3,B,0.58
s0313,Level3,C,0.61
s0313,Level4,A,2.31
s0313,Level4,B,2.41
s0313,Level4,C,3.41
s0314,Level1,A,0.5
s0314,Level1,B,0.41
s0314,Level1,C,0.46
s0314,Level2,A,0.27
s0314,Level2,B,0.31
s0314,Level2,C,0.5
s0314,Level3,A,0.68
s0314,Level3,B,0.12
s0314,Level3,C,0.26
s0314,Level4,A,1.25
s0314,Level4,B,7.68
s0314,Level4,C,2.37
s0315,Level1,A,0.4
s0315,Level1,B,0.46
s0315,Level1,C,0.4
s0315,Level2,A,0.29
s0315,Level2,B,0.47
s0315,Level2,C,0.33
s0315,Level3,A,0.28
s0315,Level3,B,0.66
s0315,Level3,C,0.61
s0315,Level4,A,3.74
s0315,Level4,B,2.55
s0315,Level4,C,2.13
s0316,Level1,A,1.48
s0316,Level1,B,0.99
s0316,Level1,C,1.43
s0316,Level2,A,1.26
s0316,Level2,B,2.08
s0316,Level2,C,1.01
s0316,Level3,A,1.32
s0316,Level3,B,1.23
s0316,Level3,C,1.36
s0316,Level4,A,5.74
s0316,Level4,B,2.45
s0316,Level4,C,4.75
s0317,Level1,A,0.55
s0317,Level1,B,0.63
s0317,Level1,C,1.57
s0317,Level2,A,0.35
s0317,Level2,B,1.28
s0317,Level2,C,0.4
s0317,Level3,A,0.71
s0317,Level3,B,1.15
s0317,Level3,C,0.81
s0317,Level4,A,3.24
s0317,Level4,B,2.94
s0317,Level4,C,3.49
s0318,Level1,A,1.25
s0318,Level1,B,0.35
s0318,Level1,C,1.02
s0318,Level2,A,0.93
s0318,Level2,B,0.6
s0318,Level2,C,0.77
s0318,Level3,A,0.66
s0318,Level3,B,0.68
s0318,Level3,C,0.33
s0318,Level4,A,8.41
s0318,Level4,B,3.79
s0318,Level4,C,2.81
s0319,Level1,A,0.27
s0319,Level1,B,0.47
s0319,Level1,C,0.77
s0319,Level2,A,0.51
s0319,Level2,B,0.32
s0319,Level2,C,0.26
s0319,Level3,A,0.3
s0319,Level3,B,0.44
s0319,Level3,C,0.75
s0319,Level4,A,3.7
s0319,Level4,B,2.84
s0319,Level4,C,3.34
s0320,Level1,A,0.31
s0320,Level1,B,0.24
s0320,Level1,C,0.2
s0320,Level2,A,0.58
s0320,Level2,B,0.35
s0320,Level2,C,0.59
s0320,Level3,A,0.27
s0320,Level3,B,0.27
s0320,Level3,C,0.25
s0320,Level4,A,2.95
s0320,Level4,B,2.38
s0320,Level4,C,2.85
s0321,Level1,A,0.78
s0321,Level1,B,0.39
s0321,Level1,C,1.37
s0321,Level2,A,0.88
s0321,Level2,B,0.51
s0321,Level2,C,0.65
s0321,Level3,A,0.5
s0321,Level3,B,1.14
s0321,Level3,C,0.76
s0321,Level4,A,7.84
s0321,Level4,B,2.39
s0321,Level4,C,4.3
s0322,Level1,A,1.08
s0322,Level1,B,1.24
s0322,Level1,C,0.97
s0322,Level2,A,1.71
s0322,Level2,B,1.3
s0322,Level2,C,1.58
s0322,Level3,A,1.39
s0322,Level3,B,1.18
s0322,Level3,C,1.93
s0322,Level4,A,9.94
s0322,Level4,B,7.52
s0322,Level4,C,3.08
s0323,Level1,A,0.52
s0323,Level1,B,0.62
s0323,Level1,C,0.57
s0323,Level2,A,0.56
s0323,Level2,B,0.82
s0323,Level2,C,0.63
s0323,Level3,A,0.7
s0323,Level3,B,0.76
s0323,Level3,C,1.16
s0323,Level4,A,6.46
s0323,Level4,B,2.04
s0323,Level4,C,1.05
s0324,Level1,A,0.35
s0324,Level1,B,0.38
s0324,Level1,C,0.6
s0324,Level2,A,0.51
s0324,Level2,B,0.64
s0324,Level2,C,0.37
s0324,Level3,A,0.21
s0324,Level3,B,0.76
s0324,Level3,C,0.52
s0324,Level4,A,1.82
s0324,Level4,B,1.73
s0324,Level4,C,5.18
s0325,Level1,A,0.41
s0325,Level1,B,0.56
s0325,Level1,C,0.43
s0325,Level2,A,0.45
s0325,Level2,B,0.45
s0325,Level2,C,0.61
s0325,Level3,A,0.4
s0325,Level3,B,1.05
s0325,Level3,C,0.88
s0325,Level4,A,4.71
s0325,Level4,B,2.27
s0325,Level4,C,3.51
s0326,Level1,A,0.74
s0326,Level1,B,0.28
s0326,Level1,C,0.29
s0326,Level2,A,0.41
s0326,Level2,B,0.65
s0326,Level2,C,0.54
s0326,Level3,A,1.42
s0326,Level3,B,0.69
s0326,Level3,C,0.47
s0326,Level4,A,3.94
s0326,Level4,B,2.63
s0326,Level4,C,3.64
s0327,Level1,A,0.36
s0327,Level1,B,0.49
s0327,Level1,C,1.3
s0327,Level2,A,0.94
s0327,Level2,B,0.73
s0327,Level2,C,0.41
s0327,Level3,A,0.47
s0327,Level3,B,1.36
s0327,Level3,C,1.5
s0327,Level4,A,2.19
s0327,Level4,B,1.96
s0327,Level4,C,8.76
s0328,Level1,A,0.66
s0328,Level1,B,0.33
s0328,Level1,C,0.8
s0328,Level2,A,0.89
s0328,Level2,B,0.44
s0328,Level2,C,0.35
s0328,Level3,A,0.87
s0328,Level3,B,0.88
s0328,Level3,C,0.51
s0328,Level4,A,7.37
s0328,Level4,B,2.1
s0328,Level4,C,5.12
s0329,Level1,A,0.49
s0329,Level1,B,0.36
s0329,Level1,C,1.31
s0329,Level2,A,0.16
s0329,Level2,B,0.82
s0329,Level2,C,0.32
s0329,Level3,A,0.47
s0329,Level3,B,0.22
s0329,Level3,C,0.31
s0329,Level4,A,2.43
s0329,Level4,B,5.61
s0329,Level4,C,5.04
s0330,Level1,A,0.54
s0330,Level1,B,0.79
s0330,Level1,C,0.79
s0330,Level2,A,0.24
s0330,Level2,B,0.87
s0330,Level2,C,1.08
s0330,Level3,A,0.48
s0330,Level3,B,0.52
s0330,Level3,C,1.06
s0330,Level4,A,3.79
s0330,Level4,B,4.6
s0330,Level4,C,4.82
s0331,Level1,A,0.4
s0331,Level1,B,0.36
s0331,Level1,C,0.14
s0331,Level2,A,0.27
s0331,Level2,B,0.39
s0331,Level2,C,0.41
s0331,Level3,A,0.3
s0331,Level3,B,0.13
s0331,Level3,C,0.19
s0331,Level4,A,1.44
s0331,Level4,B,1.83
s0331,Level4,C,2.28
s0332,Level1,A,0.63
s0332,Level1,B,0.83
s0332,Level1,C,0.92
s0332,Level2,A,0.42
s0332,Level2,B,1.08
s0332,Level2,C,0.59
s0332,Level3,A,0.57
s0332,Level3,B,0.94
s0332,Level3,C,1.13
s0332,Level4,A,4.06
s0332,Level4,B,3.04
s0332,Level4,C,5.95
s0333,Level1,A,0.67
s0333,Level1,B,1.43
s0333,Level1,C,0.77
s0333,Level2,A,0.7
s0333,Level2,B,0.19
s0333,Level2,C,0.47
s0333,Level3,A,0.83
s0333,Level3,B,0.43
s0333,Level3,C,2.1
s0333,Level4,A,6.39
s0333,Level4,B,5.1
s0333,Level4,C,12.13
s0334,Level1,A,1.43
s0334,Level1,B,1.22
s0334,Level1,C,0.38
s0334,Level2,A,0.63
s0334,Level2,B,0.41
